country,code,year,new_cases,new_deaths,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations
Afghanistan,AFG,2020,52330,2189,0,0,0,0,0,0
Afghanistan,AFG,2021,105729,5167,0,4674518,4142857,3753224,0,871193
Afghanistan,AFG,2022,49495,493,0,12449870,11459692,10754839,0,2450179
Afghanistan,AFG,2023,22821,124,0,22964750,19151368,18370386,2729940,2519516
Afghanistan,AFG,2024,4839,25,0,22964750,19151368,18370386,2729940,1090964
Albania,ALB,2020,57146,1170,247526,22964750,19151368,18370386,2729940,1213656
Albania,ALB,2021,151753,2042,1175840,22964750,19151368,18370386,2729940,2596053
Albania,ALB,2022,123869,384,190504,3025728,1342243,1270016,377057,1230353
Albania,ALB,2023,1828,8,0,3088966,1349255,1279333,402371,927465
Albania,ALB,2024,2600,4,0,3088966,1349255,1279333,402371,841071
Algeria,DZA,2020,99311,2751,0,3088966,1349255,1279333,402371,930006
Algeria,DZA,2021,118726,3520,0,12545356,7060737,5609040,402371,4982137
Algeria,DZA,2022,53180,610,0,15267442,7840131,6481186,575651,53738950
Algeria,DZA,2023,793,0,0,15267442,7840131,6481186,575651,53738950
Algeria,DZA,2024,165,0,0,15267442,7840131,6481186,575651,48733130
American Samoa,ASM,2020,0,0,0,15267442,7840131,6481186,575651,53444490
American Samoa,ASM,2021,11,0,0,15267442,7840131,6481186,575651,53738950
American Samoa,ASM,2022,8274,34,0,15267442,7840131,6481186,575651,53738950
American Samoa,ASM,2023,74,0,0,15267442,7840131,6481186,575651,53738950
American Samoa,ASM,2024,0,0,0,15267442,7840131,6481186,575651,48438670
Andorra,AND,2020,7983,84,0,15267442,7840131,6481186,575651,53886180
Andorra,AND,2021,15139,56,0,15267442,7840131,6481186,575651,14380295
Andorra,AND,2022,24629,18,0,156242,57901,53489,43020,720145
Andorra,AND,2023,264,1,0,157072,57913,53501,43071,720145
Andorra,AND,2024,0,0,0,157072,57913,53501,43071,653063
Angola,AGO,2020,17433,405,0,157072,57913,53501,43071,722118
Angola,AGO,2021,59354,1352,0,11615144,7685417,3929727,43071,720145
Angola,AGO,2022,28308,173,28136,23701048,14990131,8253873,1457126,720145
Angola,AGO,2023,1833,7,0,27819132,16550642,9609080,3067091,720145
Angola,AGO,2024,559,0,0,27819132,16550642,9609080,3067091,649117
Anguilla,AIA,2020,13,0,0,27819132,16550642,9609080,3067091,716199
Anguilla,AIA,2021,1661,5,0,27819132,16550642,9609080,3067091,542953
Anguilla,AIA,2022,2230,7,0,24441,10852,10373,2998,518665
Anguilla,AIA,2023,0,0,0,24864,10858,10382,3309,518665
Anguilla,AIA,2024,0,0,0,24864,10858,10382,3309,467509
Antigua and Barbuda,ATG,2020,158,5,0,24864,10858,10382,3309,515823
Antigua and Barbuda,ATG,2021,4145,114,0,121146,62283,58863,3309,304473
Antigua and Barbuda,ATG,2022,4811,27,0,136512,64290,62384,9838,118818
Antigua and Barbuda,ATG,2023,0,0,0,136512,64290,62384,9838,111325
Antigua and Barbuda,ATG,2024,0,0,0,136512,64290,62384,9838,100955
Argentina,ARG,2020,1674319,48271,5126379,136512,64290,62384,9838,133928
Argentina,ARG,2021,4106203,69905,23507816,78305680,38825076,30780136,6183044,78262274
Argentina,ARG,2022,4110617,11948,8029795,112937080,41429680,34804668,33885003,34631401
Argentina,ARG,2023,153818,348,0,116717860,41523450,34900612,37459362,3780775
Argentina,ARG,2024,64524,239,0,116978520,41529056,34900612,37713094,735516
Armenia,ARM,2020,159409,2823,595876,116978520,41529056,34900612,37713094,567006
Armenia,ARM,2021,185521,5149,1978061,116978520,41529056,34900612,37713094,570130
Armenia,ARM,2022,100690,738,528330,2150112,1118674,985807,40725,570130
Armenia,ARM,2023,5806,65,0,2256919,1150915,1030758,81354,570130
Armenia,ARM,2024,1614,4,0,2256919,1150915,1030758,81354,517022
Aruba,ABW,2020,5373,49,0,2256919,1150915,1030758,81354,571692
Aruba,ABW,2021,13701,132,793,2256919,1150915,1030758,81354,294594
Aruba,ABW,2022,24839,99,0,174138,90149,83989,81354,16251
Aruba,ABW,2023,364,12,0,174898,90535,84363,81354,1544
Aruba,ABW,2024,0,0,0,174914,90546,84368,81354,356
Asia excl. China,nan,2020,20405750,331167,0,174914,90546,84368,81354,363
Asia excl. China,nan,2021,64109416,919824,0,174914,90546,84368,81354,365
Asia excl. China,nan,2022,105127804,231295,0,174914,90546,84368,81354,365
Asia excl. China,nan,2023,12262180,31850,0,174914,90546,84368,81354,365
Asia excl. China,nan,2024,314923,971,0,174914,90546,84368,81354,329
Australia,AUS,2020,28381,920,11253840,174914,90546,84368,81354,366
